id,navn,avsender,underkategori,pulje,hovedposisjon,dissens,arg_n,argumenter,hovedbudskap
108,Privatperson (13. standardmal-instans),,pasient_eller_pårørende_mal_ren,,A_klar,False,4,egen_retningslinje;skille_me_utmattelse;icd_g93_3;stan_mal_setning,**13. dokumenterte standardmal-instans**. Standardmal-setningen gjentatt i 10 av 11 utfylte felt. Avvik fra ren mal: virksomhetsleder-feltet inneholder kun 'Enig i utsagn.' (14 t).
109,"Privatperson (Myalgisk Encefalopati-terminologi, alvorlig retorikk)",,pasient_eller_pårørende_aktivist,,A_klar,False,6,egen_retningslinje;myalgisk_encefalopati_term;biomedisinsk_sykdom;aktivitetsregulering_vagt;lidelse_død_kostnad;skreddersydd_behandling,A_klar med 'Myalgisk Encefalopati' (encefalopati vs encefalomyelitt) — terminologisk variant.
11,"Privatperson (polemisk-aktivisme, 7 pasientskadesaker, utlandet-behandling)",,pasient_aktivist_internasjonal_helsehjelp,,A_klar,False,17,egen_retningslinje;icd_g93_3;canadakriteriene_støtte;biopsykososial_kritikk;skille_me_utmattelse;stan_mal_setning;eirik_aksnes_referanse;psykologisk_no_referanse;utlandet_behandling_betalt_selv;tyskland_spania_helsehjelp;komorbide_sykdommer_kompetansemangel;heds_pots_dysautonomia_audhd;medical_ptsd_helsesystem;7_pasientskadesaker;utenlandsflytting_planlagt;kompetansetjeneste_kritikk;kreft_diabetes_parallell_satire,"A_klar med polemisk-aktivisme-tone. Innledning i hvert felt er stort sett 'Nei' med rasende underbygging. **Sterk personlig kritikk mot Hdir**: 'Liker dere å gjøre sport i å dele ut misinformasjon som underminerer andre pasientgrupper også? Eller har dere bare dette hatet mot ME syke?'. **Aksnes-referanse**: 'Som ME syke Eirik Aksnes skriver i Psykologisk.no: Når ME blandes sammen med utmattelse blir hele utgangspunktet feil'. **Komorbide sykdommer-kritikk**: 'Norges helsesystemer kan ingenting om de komorbide sykdommene til ME uansett. hEDS, POTS, dysautonomia, AUDHD m.fl. Jeg dro til Tyskland og Spania for helsehjelp, hvor jeg har blitt friskere'. Bruker standardmalsetningen i generelle_kommentarer ('Jeg aksepterer ikke...G93.3'). **Personlige opplysninger**: 'medical PTSD fra norsk helsevesen', 'Jeg flyttet permanent til utlandet så fort jeg får mulighet. Jeg har 7 pasientskade saker til behandling'. **Satirisk parallell**: 'Feilene dere har gjort hittil er som å kalle kreft for diabetes'."
110,Privatperson (aktivitetsavpasning vs aktivitetsregulering-term),,pasient_eller_pårørende_aktivist,,A_klar,False,4,egen_retningslinje;aktivitetsavpasning_term;ikke_aktivitetsregulering;biomedisinsk_sykdom,"A_klar med terminologisk presisering: 'Aktivitetsregulering er ikke behandling for ME, aktivitetsavpasning er det som må til'."
111,"Privatperson (immunologisk-fokus, 'liv går tapt'-retorikk)",,pasient_eller_pårørende_aktivist,,A_klar,False,4,egen_retningslinje;immunologisk_sykdom;liv_går_tapt;aktivitetsavpasning_krav,Kortere A_klar med immunologisk-fokus. 'Liv går tapt'-advarsel.
112,"ME foreningen (dissens, Excel-rad)",,,,A_klar,False,12,pem_kjerne;pem_definisjon;skille_me_utmattelse;biopsykososial_kritikk;nice_2021;aktivitet_pacing;kognitiv_terapi_kritikk;kunnskapsgrunnlag_brukererfaring;alvorlig_syke;dårlig_prognose;nav_arbeidsliv;psykologisering,"Tar dissens fordi utkastet etter ME-foreningens vurdering verken vil heve kompetansen eller gi ME-syke bedre oppfølging. Begrunnelsen er at retningslinjen er for vag, ikke skiller tydelig nok mellom ME/CFS og utmattelse uten PEM, mangler realistisk informasjon om prognose og risiko ved behandling, og ikke tar hensyn til brede brukerundersøkelser. Henviser til NAV-praksis i Gulating lagmannsrett som illustrasjon på konsekvensene av uklare retningslinjer."
113,"Privatperson (long covid-pasient, lavmælt argumentasjon)",,pasient_long_covid,,A_modifisert,False,12,pem_kjerne;differensiering_long_covid;skille_me_long_covid;skille_me_utmattelse;funksjonsfall_tidlig;belastningsintoleranse;aktivitet_pacing;stabilisering_før_aktivitet;lavere_terskel_henvisning;tillit_kunnskap;praktisk_opplæring;barn_sårbar,"Long covid-pasient med strukturert pragmatisk-A-orientert innspill. Hovedanke: retningslinjen er 'for bred og for uklar når long covid, ME/CFS og annen langvarig utmattelse i stor grad omtales samlet'. I motsetning til A_klar-leiren kravprises ikke separat ME-retningslinje, men 'tydeligere skille mellom ulike tilstander' og 'reell differensiering' innenfor retningslinjen. Egen erfaring: 'klart redusert belastningsevne, kognitive problemer og svingende funksjon' - utredningen må fange opp funksjonsfall tidligere. Krever at aktivitetsregulering ikke blir 'en skjult form for aktivitetsøkning', målet må først være 'stabilisering, symptomlindring og bedre tilpasning i hverdagen, ikke å øke aktivitet før man vet hva pasienten faktisk tåler'. Forsvarsverk for at long covid ikke automatisk plasseres under Canada-kriteriene: 'finnes overlapp, men også viktige forskjeller'. Avslutter med at retningslinjen alene ikke er nok: 'Det trengs praktisk opplæring, ikke bare publisering av en retningslinje'."
114,"Helse Nord-Trøndelag, barneavdelingen",,,,tjenestefaglig,False,1,barn_og_unge,"Kort innspill fra barneavdelingen. To poenger: utvide eksklusjonstilstander for psykiatri, og at skjermtid bør omtales som potensielt opprettholdende faktor hos ungdom."
115,"Privatperson (84. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"84. mal-instans, ren standardmal."
116,"Privatperson (konstruktiv-pragmatisk, tre konkrete forbedringsforslag)",,fagperson_privat_sannsynlig_konstruktiv,,A_modifisert,False,10,pem_kjerne;språk_passivt_abstrakt_kritikk;konkret_aktivt_språk;skille_forskning_tolkning_anbefaling;pem_egen_seksjon_krav;akutt_vs_forsinket_pem_forklaring;klinisk_beslutningsstøtte_mangler;ortostatisk_intoleranse;deltilstander_behandling;pem_terskel_management,"A_modifisert konstruktiv-pragmatisk innspill med tre konkrete forbedringsforslag. Hovedanke: 'Retningslinjen fremstår faglig omfattende, men er etter mitt syn vanskelig å bruke i praksis. Teksten blander kunnskapsoppsummering, tolkning og anbefalinger uten tydelig skille, og språket er ofte passivt og abstrakt'. **Tre konkrete forbedringer**: (1) **Tydeligere struktur og språk**: 'Det bør skilles klarere mellom hva forskning viser, hva som er tolkningsmodeller og hva som er kliniske anbefalinger. Mer aktivt og konkret språk vil også gjøre retningslinjen lettere å bruke. For eksempel kan det bør foretas vurdering erstattes med fastlegen bør vurdere'. (2) **Klarere beskrivelse av PEM**: 'PEM omtales både som kjernesymptom ved ME/CFS og som fenomen ved andre tilstander. En egen seksjon bør forklare hvordan PEM ved ME/CFS vanligvis arter seg, inkludert forskjellen mellom akutt symptomøkning under aktivitet og forsinket forverring i etterkant'. (3) **Mer klinisk beslutningsstøtte**: 'gir begrenset hjelp til håndtering av vanlige deltilstander som påvirker funksjon og PEM-terskel, særlig ortostatisk intoleranse'."
117,Privatperson ('First do no harm'-retorikk),,pasient_eller_pårørende_aktivist,,A_klar,False,5,egen_retningslinje;first_do_no_harm;brukermedvirkning_reell;forverret_situasjon_advarsel;hippokratisk_retorikk,A_klar med 'First do no harm'-retorikk. Krav om reell brukermedvirkning.
118,"Privatperson (112. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"112. mal-instans, ren standardmal."
119,"Privatperson (61. mal-instans, 20-års-ME)",,pasient_eller_pårørende_mal_pluss,,A_klar,False,4,egen_retningslinje;stan_mal_setning;20_år_me;skuffet_lei,61. mal-instans. 61. mal-instans + 20 års ME-bakgrunn.
12,Privatperson (kreft-hodepine-metafor),,pasient_eller_pårørende_metafor_basert,,A_klar,False,6,egen_retningslinje;kreft_hodepine_metafor;mange_symptomer_me;spesialisthelsetjeneste;dusj_kan_ikke;lytt_pasient_ikke_psykolog,"A_klar med **kreft-hodepine-metafor**: 'Man blir behandlet for kreft, fordi om et av symptomene er hodepine, man døper ikke om sykdommen til hodepine'."
120,"Privatperson (83. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"83. mal-instans, ren standardmal."
121,Privatperson (17. mal-instans + pasient-autonomi-fokus),,pasient_eller_pårørende_mal_pluss_autonomi,,A_klar,False,10,pem_kjerne;egen_retningslinje;stan_mal_setning;internasjonal_forskning;pasient_autonomi_etisk;tillitsskapende_uetisk;døgnkontinuerlig_observasjon_familie;egne_poliklinikker_me;psykomotorisk_fysioterapi_anbefalt;biomedisinsk_kompetanse_krav,**17. mal-instans**. Sterkt etisk-autonomi-argument: 'Det er ingen pasienter som takker nei til helsehjelp som er nødvendig. Å tvinge på tillitsskapende tiltak er å ta fra pasienten autonomi og blir uetisk'. Foreslår egne ME-poliklinikker og psykomotorisk fysioterapi.
122,"Privatperson (Wyller-kritikk, push & crash-anekdote)",,pasient_eller_pårørende_aktivist_wyller_kritisk,,A_klar,False,13,egen_retningslinje;stan_mal_setning;wyller_navngitt_kritisk;wyller_psykomodell_motbevisst;økonomiske_motiver_utvalg;gutteklubben_grei;strutsekultur_helsenorge;kameraderi_nepotisme;push_crash_fysioterapeut_råd;halvtimes_hvile_råd;biomedisinsk_forskning_andedammen_skandinavia;fastlege_lat_diagnose_me;spesialistfaglig_utredning_krav,"A_klar med sterk Wyller-kritikk. Bruker standardmal-setningen som åpning + substansielt tilleggsinnhold. **Eksplisitt navngitt motstander**: 'Det er hårreisende at Vegard Bruun Wyller & Co, som har hele sin karriere bygget på sin psykomodell, med hypoteser rundt ME som har blitt motbevisst gang på gang, får definere både forsknings- og behandlingsbemøtning overfor ME-pasienter'. Refererer **strukturell makt/økonomiske interesser**: 'gutteklubben grei', 'strutsekultur', 'kameraderi og nepotisme'. **Konkret fysioterapeut-anekdote om push&crash**: 'en halvtimes hvile om jeg følte meg sliten. Var jeg da fortsatt sliten skulle jeg ta det helt med ro. Et særdeles konkret og nyttig verktøy'. **Mistro mot fastlege-diagnose**: 'Har møtt flere pasienter som selv har fortalt hvordan fastlegene har sagt det blir enklest å beskrive det som ME. Fullstendig ødeleggende for forståelsen av sykdommen!'"
123,"Privatperson (54. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,54. mal-instans.
124,"Privatperson (107. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"107. mal-instans, ren standardmal."
125,"Privatperson (106. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"106. mal-instans, ren standardmal."
126,"Privatperson (42. mal-instans, tenk-deg-frisk-kritikk)",,pasient_eller_pårørende_mal_pluss,,A_klar,False,4,egen_retningslinje;stan_mal_setning;spesialist_diagnose_krav;tenk_deg_frisk_skadelig,42. mal-instans. 42. mal-instans + 'tenk deg frisk'-kritikk.
127,"Privatperson (85. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"85. mal-instans, ren standardmal."
128,Privatperson,,fagperson_privat_sannsynlig,,A_klar,False,17,pem_kjerne;pem_definisjon;egen_retningslinje;skille_me_utmattelse;canadakriteriene_støtte;biopsykososial_kritikk;nice_2021;aktivitet_pacing;kognitiv_terapi_kritikk;kunnskapsgrunnlag_smalt;kunnskapsgrunnlag_forskning;psykologisering;alvorlig_syke;tjenester_samhandling;nav_arbeidsliv;kompetanseheving;implementering_konkret,"Forfatter identifiserer den fundamentale selvmotsigelsen i retningslinjen: Når Canadakriteriene anbefales for diagnostisering (som krever PEM), kan man ikke samtidig viske ut skillet mellom utmattelse med og uten PEM i behandlingsanbefalingene – det er hele essensen i Canadakriteriene. Skarp og målrettet kritikk av at retningslinjen henviser til Asprusten/Sletner/Wyller 2021 («Are there subgroups of chronic fatigue syndrome?») som «et eksempel på skjev kunnskapsinnhenting»: artikkelen har psykososial agenda, Asprusten og Sletner er knyttet til fagmiljøet rundt Fink i Århus, og Wyller er sentral forkjemper for psykologisering. Mener Helsedirektoratets oppdrag fra 2018 bygget på feil sykdomsforståelse. Bygger argumentasjonen rundt at over 50% av long covid-pasienter oppfyller ICC eller Canadakriteriene, og at biomedisinske funn (immunologiske avvik, mitokondriedysfunksjon, nevroinflammasjon) ikke får konsekvens i anbefalingene. Refererer Maeve Boothby O'Neill og britisk dødssak. Krever at retningslinjen bygger på NICE 2021. Beskriver «Splittelsen i synet på ME i Norge skyldes Generalisering» som rammeverk for å forstå konflikten."
129,"Privatperson (75. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"75. mal-instans, ren standardmal."
13,"Privatperson (9. dokumenterte standardmal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,4,egen_retningslinje;skille_me_utmattelse;icd_g93_3;stan_mal_setning,"Niende dokumenterte standardmal-instans, ren — INGEN tilleggsinnhold i noe felt. Standardformuleringen gjentatt 15 ganger uten anførselstegn (jf. id 86 og id 158 som hadde anførselstegn)."
130,"Privatperson (105. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"105. mal-instans, ren standardmal."
131,"Privatperson (79. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"79. mal-instans, ren standardmal."
132,"Privatperson (rehab-skadet, fastlege-ignoranse)",,pasient_me_rehab_skadet,,A_klar,False,7,pem_kjerne;egen_retningslinje;alvorlig_nevrologisk_lidelse;2_rehab_opphold_skadelig;alvorlig_grad_etter_rehab;fastlege_depresjon_latskap_hysteri;spesialist_diagnose,A_klar med **2 rehab-opphold som førte til alvorlig grad**. 'Fastleger kan ingenting om ME og tror det er depresjon og latskap og hysteri'.
133,Privatperson (strukturert systematisk argument for egen retningslinje),,pasient_eller_pårørende_informert,,A_klar,False,14,pem_kjerne;egen_retningslinje;skille_me_utmattelse;skille_me_psykiatri;skille_me_kreft;aktivitet_pacing;biopsykososial_kritikk;tittel_struktur_endre;varighetsprinsipp_definisjon;brukerundersøkelser_vekt;veileder_effektivitet;opplæring_fastlege;skadelig_praksis_videreført;snudd_på_hodet,"Strukturert A_klar med systematisk argumentasjon for egen retningslinje. Hovedanke: 'Det vil være mer riktig å behandle CFS/ME ut i fra grunnsykdommen, det som er kjent, i stedet for å behandle den som en utmattelseslidelse'. Sammenligner med behandling av andre sykdommer (psykiske lidelser, kreft) som har egne retningslinjer. Veilederens nåværende oppbygging og struktur er 'snudd på hodet' og 'skaper uklarhet om sykdommens karakter'. Sentrale spesifikke forslag: (1) endring av tittel for å reflektere sykdommens karakter og dagens kunnskapsgrunnlag; (2) tydeligere grensesetting i oppfølging/behandling basert på funksjonsgrad; (3) større vektlegging av brukerundersøkelser og pasienterfaringer som kunnskapsgrunnlag; (4) definisjon av når sykdommen regnes som varig — refererer at varighetsprinsippet i nåværende veileder har 7-årig terskel, og at dette må tydeliggjøres pga NAV-rettigheter. Forslag til strykning: formuleringer som setter biopsykososial ramme — 'man kan stille spørsmål ved om den har faglig dekning slik den står'."
134,"Privatperson (80. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"80. mal-instans, ren standardmal."
135,"Privatperson (111. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"111. mal-instans, ren standardmal."
136,"Privatperson (38. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,38. mal-instans.
137,Privatperson (pårørende til ME-død datter),,pårørende_etterlatt_alvorlig,,A_klar,False,9,pem_kjerne;egen_retningslinje;pårørende_etterlatt;datter_død_me;norsk_helsevesen_hjelpeløst;fysisk_kompleks_alvorlig;biopsykososial_kritikk;tåkelegging_uvilje;internasjonal_forskning_ignorert,**Pårørende til ME-pasient som døde**. Datter i 50-årene. 'Min største sorg er tapet av min datter. Min største fortvilelse er at norsk helseforvaltning fortsatt velger å tåkelegge den manglende evnen/viljen til å gi de ME-syke en adekvat hjelp'. Sjelden tung etterlatt-stemme.
138,"Privatperson (nynorsk, Recovery Norge-eksklusjon)",,pasient_eller_pårørende_aktivist_nynorsk,,A_klar,False,11,pem_kjerne;egen_retningslinje;skille_me_long_covid;nice_guideline;virusutløyst_sjukdom;biologisk_multisystemisk;psyke_sosiale_ikke_faktor;lp_skadelig_råd;fastlege_kompetansemangel;recovery_norge_eksplisitt_ekskluder;reell_medvirkning_krav,"Nynorsk A_klar. Krever ME-spesifikk retningslinje basert på WHO/NICE/internasjonal forskning. **Substantielt eksklusjonskrav**: 'Lage egne veiledera for ME og Long covid, der pasientforeiningane (-Recovery Norge) får reell medvirkning'. Den eksplicit parentes-Recovery Norge-ekskluderingen er sjelden i datasettet."
139,"Privatperson ('Cøliaki+allergi'-metafor, IOM-kriterier-preferanse)",,pasient_eller_pårørende_metafor_iom,,A_klar,False,5,pem_kjerne;egen_retningslinje;cøliaki_allergi_metafor;iom_kriterier_preferanse;kartlegge_pem_første_steg,A_klar med **'Cøliaki+allergi'-metafor**: 'Å blande ME og all annen utmattelse vil være som å blande Cøliaki med diverse allergier'. **Preferanse for IOM-kriterier** over Canadakriteriene.
14,"Privatperson (nyere mal-variant, 'i strid med'-formulering)",,pasient_eller_pårørende_aktivist,,A_klar,False,7,egen_retningslinje;nevrologisk_sykdom;egne_diagnosekriterier;forverring_feilbehandling;faglig_uforsvarlig;forskning_pasienterfaringer_tiår;tydelig_adskilt_krav,A_klar med eget formulert innspill (ikke standardmal). Bruker 'faglig uforsvarlig' som retorisk grep. Lang versjon av kravet om egen retningslinje.
140,"Privatperson (74. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"74. mal-instans, ren standardmal."
141,Privatperson (26. mal-instans + 8000-pasienter-tallargument),,pasient_eller_pårørende_mal_pluss,,A_klar,False,8,pem_kjerne;egen_retningslinje;stan_mal_setning;fysiologisk_savnes;internasjonal_forskning;8000_pasientforeninger_tall;canadakriteriene_obligatorisk;skadelig_sammenblanding,26. mal-instans. Bruker tallargumentet: 'Pasientforeningene snakker på vegne av veldig mange (ca 8000) og bør veie tyngre enn visse andre' — sannsynlig implicit Recovery Norge-kontrast.
142,"Privatperson (96. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"96. mal-instans, ren standardmal."
143,"Privatperson (36. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,36. mal-instans.
144,"Privatperson (91. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"91. mal-instans, ren standardmal."
145,"Privatperson (92. mal-instans, ren)",,pasient_eller_pårørende_mal_ren,,A_klar,False,2,egen_retningslinje;stan_mal_setning,"92. mal-instans, ren standardmal."
146,Privatperson,,pasient_aktivist,,A_klar,False,12,pem_kjerne;egen_retningslinje;canadakriteriene_støtte;biopsykososial_kritikk;psykologisering;kunnskapsgrunnlag_smalt;kunnskapsgrunnlag_forskning;alvorlig_syke;barn_og_unge;kompetanseheving;implementering_konkret;arbeidsgruppe_kritikk,"Privatpersonen åpner med malformuleringen 'Jeg aksepterer ikke...' og krever egen retningslinje for ME G93.3. Hovedfokus er på utvidet biomedisinsk prøvetaking: ALLE aminosyrer, alle B-vitaminer (inkl. kolin, inositol), methylerte vitaminer, ATP-profil, mitokondriefunksjon, sporstoffer, hormoner, co-faktorer. Etterlyser indremedisiner med metabolsk kompetanse. Foreslår at ny arbeidsgruppe inkluderer ME-fondet, ME-foreldrene og sykepleier Eva Stormorken. Krever andre linje ME-enhet med immunologisk, metabolsk, genetisk, biomarkør-kompetanse, evt. ambulerende."
